EmployeeID,Employee_Count,Job_Role,Department,Job_Level,Job_Involvement,Performance_Rating,Over_Time,Training_Times_Last_Year,Business_Travel,Standard_Hours,Environment_Satisfaction,Job_Satisfaction,Percent_Salary_Hike
91,1,"Sales Executive",Sales,2,2,3,No,2,Travel_Frequently,80,1,3,11
94,1,"Research Scientist","Research & Development",1,3,4,No,3,Travel_Rarely,80,3,2,23
95,1,"Research Scientist","Research & Development",1,3,3,No,4,Travel_Rarely,80,3,2,17
96,1,"Research Scientist","Research & Development",2,3,3,No,3,Travel_Rarely,80,2,2,17
97,1,"Laboratory Technician","Research & Development",1,4,3,No,3,Travel_Rarely,80,2,4,12
98,1,"Manufacturing Director","Research & Development",2,3,4,No,2,Travel_Rarely,80,3,4,23
100,1,"Sales Executive",Sales,2,2,3,No,2,Travel_Rarely,80,3,1,14
101,1,"Research Director","Research & Development",3,3,3,Yes,3,Travel_Rarely,80,4,1,14
102,1,"Research Director","Research & Development",3,3,3,No,3,Travel_Rarely,80,1,3,13
103,1,"Human Resources","Human Resources",2,3,4,Yes,2,Travel_Rarely,80,2,2,22
104,1,"Laboratory Technician","Research & Development",2,2,3,Yes,1,Travel_Rarely,80,4,4,12
105,1,"Research Scientist","Research & Development",1,2,3,No,3,Travel_Rarely,80,2,3,18
106,1,"Sales Executive",Sales,3,3,3,No,4,Travel_Rarely,80,1,4,14
107,1,"Research Scientist","Research & Development",2,1,3,Yes,3,Non-Travel,80,2,4,12
110,1,"Manufacturing Director","Research & Development",2,3,3,No,2,Travel_Rarely,80,1,2,15
112,1,"Manufacturing Director","Research & Development",3,1,3,No,3,Travel_Rarely,80,4,4,11
113,1,"Sales Representative",Sales,1,3,3,No,3,Travel_Rarely,80,3,1,13
116,1,"Laboratory Technician","Research & Development",1,3,4,No,4,Travel_Rarely,80,4,4,23
117,1,"Healthcare Representative","Research & Development",2,2,3,No,3,Travel_Rarely,80,3,4,19
118,1,"Sales Executive",Sales,3,2,3,No,3,Travel_Rarely,80,3,4,16
119,1,"Healthcare Representative","Research & Development",4,2,4,No,3,Travel_Frequently,80,3,2,22
120,1,"Sales Executive",Sales,2,3,4,Yes,2,Travel_Rarely,80,3,4,22
121,1,"Sales Executive",Sales,2,2,3,Yes,4,Travel_Rarely,80,3,2,12
124,1,"Healthcare Representative","Research & Development",3,2,3,Yes,5,Travel_Frequently,80,3,1,13
125,1,"Sales Executive",Sales,2,3,3,No,0,Travel_Rarely,80,2,3,16
126,1,"Research Director","Research & Development",3,3,3,No,5,Travel_Rarely,80,1,3,12
128,1,"Sales Executive",Sales,2,3,4,No,2,Travel_Rarely,80,1,3,21
129,1,"Sales Executive",Sales,2,3,3,No,3,Non-Travel,80,2,3,15
131,1,"Sales Executive",Sales,4,3,3,No,1,Travel_Rarely,80,4,3,13
132,1,"Laboratory Technician","Research & Development",2,3,3,No,3,Non-Travel,80,2,2,12
133,1,"Human Resources","Human Resources",1,3,4,Yes,3,Travel_Rarely,80,3,1,22
134,1,"Research Scientist","Research & Development",1,3,3,No,2,Travel_Rarely,80,4,1,13
137,1,"Laboratory Technician","Research & Development",1,2,3,Yes,5,Travel_Frequently,80,4,4,18
138,1,"Research Scientist","Research & Development",2,3,3,No,3,Travel_Rarely,80,1,3,14
139,1,"Healthcare Representative","Research & Development",2,2,3,No,2,Non-Travel,80,3,4,14
140,1,Manager,"Human Resources",5,2,4,No,3,Non-Travel,80,3,4,21
141,1,"Research Director","Research & Development",5,3,3,Yes,1,Travel_Frequently,80,1,2,19
142,1,"Sales Executive",Sales,2,2,3,Yes,1,Travel_Rarely,80,3,3,11
143,1,"Research Scientist","Research & Development",1,2,3,No,2,Travel_Rarely,80,4,4,11
144,1,"Laboratory Technician","Research & Development",1,3,3,No,5,Travel_Rarely,80,2,4,15
145,1,"Healthcare Representative","Research & Development",3,2,4,No,1,Travel_Frequently,80,1,1,20
147,1,"Laboratory Technician","Research & Development",2,1,4,Yes,3,Travel_Frequently,80,1,3,24
148,1,Manager,"Human Resources",4,4,3,Yes,3,Non-Travel,80,4,4,12
150,1,"Laboratory Technician","Research & Development",1,3,3,No,2,Travel_Rarely,80,2,3,12
151,1,"Research Scientist","Research & Development",2,2,3,No,3,Travel_Rarely,80,3,2,15
152,1,"Sales Executive",Sales,3,3,3,No,3,Travel_Rarely,80,3,4,12
153,1,Manager,"Research & Development",3,2,3,No,6,Travel_Rarely,80,3,1,12
154,1,"Sales Executive",Sales,3,3,3,No,6,Travel_Frequently,80,2,4,14
155,1,"Laboratory Technician","Research & Development",1,3,4,No,2,Travel_Rarely,80,1,4,22
158,1,Manager,Sales,4,3,3,Yes,3,Travel_Frequently,80,3,4,12
159,1,"Research Scientist","Research & Development",1,1,4,No,2,Travel_Frequently,80,1,3,25
160,1,"Sales Executive",Sales,2,3,3,No,2,Non-Travel,80,3,2,13
161,1,"Research Scientist","Research & Development",1,3,3,Yes,2,Travel_Rarely,80,2,2,18
162,1,"Research Director","Research & Development",5,3,3,No,5,Travel_Rarely,80,1,3,13
163,1,"Sales Executive",Sales,2,1,3,Yes,3,Travel_Rarely,80,2,3,18
164,1,"Research Scientist","Research & Development",1,2,3,No,3,Travel_Rarely,80,3,2,19
165,1,"Healthcare Representative","Research & Development",3,3,3,No,3,Travel_Rarely,80,4,4,12
167,1,"Sales Representative",Sales,1,3,3,Yes,2,Travel_Rarely,80,4,3,19
169,1,"Laboratory Technician","Research & Development",1,3,3,No,2,Travel_Rarely,80,3,4,14
170,1,"Manufacturing Director","Research & Development",2,3,3,No,2,Travel_Rarely,80,3,1,14
171,1,"Research Scientist","Research & Development",1,4,3,No,2,Travel_Frequently,80,2,3,12
174,1,"Sales Executive",Sales,3,3,3,No,3,Travel_Frequently,80,3,4,11
175,1,"Sales Executive",Sales,2,1,3,Yes,2,Travel_Rarely,80,2,3,11
176,1,"Sales Executive",Sales,3,3,3,Yes,2,Travel_Rarely,80,3,3,13
177,1,"Human Resources","Human Resources",1,3,4,No,3,Travel_Rarely,80,3,3,23
178,1,"Manufacturing Director","Research & Development",2,3,4,No,0,Travel_Rarely,80,2,2,20
179,1,"Manufacturing Director","Research & Development",3,1,3,No,2,Travel_Frequently,80,1,4,15
182,1,"Sales Executive",Sales,2,2,3,No,1,Travel_Rarely,80,4,3,14
183,1,"Sales Executive",Sales,2,2,3,No,3,Travel_Rarely,80,1,3,18
184,1,"Human Resources","Human Resources",2,3,3,Yes,2,Travel_Rarely,80,3,4,19
190,1,"Laboratory Technician","Research & Development",1,3,4,No,2,Travel_Rarely,80,1,1,22
192,1,"Research Scientist","Research & Development",1,3,3,No,2,Travel_Rarely,80,3,4,13
193,1,"Research Scientist","Research & Development",2,3,4,Yes,2,Travel_Rarely,80,4,3,20
194,1,"Research Scientist","Research & Development",1,3,3,No,4,Travel_Rarely,80,1,3,14
195,1,"Sales Executive",Sales,2,1,3,No,2,Travel_Frequently,80,4,4,17
197,1,"Research Scientist","Research & Development",1,3,3,No,3,Travel_Rarely,80,4,1,14
198,1,"Laboratory Technician","Research & Development",1,2,3,No,3,Travel_Rarely,80,2,4,13
199,1,Manager,"Research & Development",4,2,3,No,2,Travel_Frequently,80,4,1,13
200,1,"Laboratory Technician","Research & Development",1,3,4,No,2,Travel_Rarely,80,3,1,21
201,1,"Laboratory Technician","Research & Development",1,3,3,No,3,Travel_Rarely,80,2,2,14
202,1,"Research Scientist","Research & Development",2,3,3,No,2,Travel_Frequently,80,2,2,11
204,1,"Sales Executive",Sales,3,3,3,No,3,Travel_Rarely,80,3,2,13
205,1,"Sales Representative",Sales,2,3,4,Yes,3,Travel_Rarely,80,2,3,20
206,1,"Laboratory Technician","Research & Development",2,3,3,No,2,Travel_Rarely,80,2,2,18
207,1,"Sales Executive",Sales,3,3,3,No,2,Travel_Frequently,80,2,4,14
208,1,"Manufacturing Director","Research & Development",2,3,3,No,1,Non-Travel,80,4,3,13
211,1,"Manufacturing Director","Research & Development",2,2,3,No,2,Travel_Rarely,80,2,3,17
214,1,"Research Scientist","Research & Development",1,2,4,Yes,3,Travel_Rarely,80,2,2,20
215,1,"Sales Executive",Sales,3,2,3,No,2,Travel_Rarely,80,3,4,11
216,1,"Sales Representative",Sales,1,3,3,No,3,Travel_Frequently,80,3,3,18
217,1,"Research Scientist","Research & Development",1,3,4,No,6,Travel_Rarely,80,3,4,24
218,1,"Research Scientist","Research & Development",1,3,3,No,1,Non-Travel,80,4,2,18
221,1,"Research Scientist","Research & Development",1,3,3,No,2,Travel_Rarely,80,3,4,11
223,1,"Healthcare Representative","Research & Development",3,4,3,Yes,2,Travel_Rarely,80,3,4,16
224,1,"Research Scientist","Research & Development",1,2,3,Yes,2,Non-Travel,80,3,3,15
226,1,Manager,"Research & Development",5,3,3,No,5,Travel_Rarely,80,3,2,15
227,1,"Research Scientist","Research & Development",1,3,3,No,2,Travel_Rarely,80,1,3,12
228,1,"Sales Executive",Sales,3,3,3,No,2,Travel_Rarely,80,2,4,12
230,1,"Sales Executive",Sales,2,2,4,No,2,Travel_Rarely,80,1,4,22
231,1,"Research Scientist","Research & Development",1,3,4,No,2,Travel_Rarely,80,3,3,20
233,1,"Research Scientist","Research & Development",1,3,3,Yes,3,Travel_Rarely,80,3,2,16
235,1,"Sales Representative",Sales,1,1,4,No,5,Travel_Frequently,80,3,1,21
238,1,"Laboratory Technician","Research & Development",1,3,3,No,3,Travel_Frequently,80,4,2,12
239,1,"Laboratory Technician","Research & Development",2,3,3,No,4,Non-Travel,80,3,1,11
240,1,"Sales Executive",Sales,2,3,3,Yes,3,Travel_Rarely,80,3,1,11
241,1,"Research Scientist","Research & Development",1,3,3,Yes,3,Travel_Rarely,80,3,1,18
242,1,"Research Scientist","Research & Development",1,3,3,No,2,Travel_Rarely,80,3,4,14
243,1,"Laboratory Technician","Research & Development",1,2,4,No,3,Travel_Rarely,80,2,4,22
244,1,"Sales Executive",Sales,3,3,4,No,2,Travel_Rarely,80,2,1,25
245,1,"Laboratory Technician","Research & Development",1,3,3,No,3,Travel_Rarely,80,3,4,12
246,1,"Research Scientist","Research & Development",1,3,4,Yes,0,Travel_Rarely,80,3,4,23
247,1,"Research Scientist","Research & Development",1,3,3,No,3,Travel_Rarely,80,4,2,15
248,1,"Sales Representative",Sales,1,3,4,Yes,5,Travel_Rarely,80,2,2,22
249,1,"Laboratory Technician","Research & Development",1,2,3,No,2,Travel_Rarely,80,3,3,15
250,1,"Manufacturing Director","Research & Development",2,4,3,No,3,Travel_Rarely,80,4,1,11
252,1,"Research Scientist","Research & Development",1,3,3,No,5,Travel_Rarely,80,4,2,13
253,1,Manager,"Research & Development",5,3,3,No,2,Travel_Rarely,80,4,3,14
254,1,"Research Director","Research & Development",5,4,3,No,3,Travel_Rarely,80,3,2,11
256,1,"Manufacturing Director","Research & Development",2,2,3,No,2,Travel_Frequently,80,4,3,17
258,1,"Healthcare Representative","Research & Development",4,3,3,No,6,Travel_Rarely,80,4,2,18
259,1,Manager,"Research & Development",5,2,3,No,5,Travel_Rarely,80,3,3,14
260,1,"Research Scientist","Research & Development",1,3,3,No,2,Travel_Rarely,80,4,2,16
261,1,"Manufacturing Director","Research & Development",2,2,3,Yes,1,Travel_Rarely,80,2,3,13
262,1,"Research Scientist","Research & Development",1,4,3,No,3,Non-Travel,80,4,4,14
264,1,Manager,"Research & Development",4,2,4,No,1,Non-Travel,80,1,4,23
267,1,"Research Scientist","Research & Development",1,4,3,Yes,3,Travel_Rarely,80,2,1,12
269,1,"Laboratory Technician","Research & Development",2,3,3,No,5,Travel_Frequently,80,2,2,11
270,1,"Manufacturing Director","Research & Development",2,3,3,No,5,Non-Travel,80,3,3,16
271,1,"Manufacturing Director","Research & Development",2,3,3,No,3,Travel_Rarely,80,4,3,14
273,1,"Manufacturing Director","Research & Development",2,3,3,No,3,Travel_Rarely,80,4,4,18
274,1,"Manufacturing Director","Research & Development",2,2,3,No,1,Travel_Frequently,80,3,1,19
275,1,"Manufacturing Director","Research & Development",2,3,3,Yes,0,Non-Travel,80,4,4,15
277,1,"Research Scientist","Research & Development",1,3,3,Yes,4,Travel_Frequently,80,4,3,17
281,1,"Laboratory Technician","Research & Development",2,3,3,Yes,2,Travel_Rarely,80,3,4,15
282,1,"Healthcare Representative","Research & Development",2,3,3,Yes,2,Travel_Rarely,80,2,1,19
283,1,"Sales Executive",Sales,3,3,4,No,3,Travel_Rarely,80,2,4,22
284,1,"Research Scientist","Research & Development",1,4,3,Yes,2,Travel_Rarely,80,4,2,16
286,1,"Laboratory Technician","Research & Development",1,3,3,No,2,Travel_Frequently,80,2,4,13
287,1,"Healthcare Representative","Research & Development",2,2,3,No,5,Non-Travel,80,4,4,14
288,1,"Healthcare Representative","Research & Development",3,3,3,No,3,Travel_Rarely,80,4,1,16
291,1,"Sales Executive",Sales,3,1,3,No,2,Travel_Rarely,80,4,4,11
292,1,"Manufacturing Director","Research & Development",3,2,4,No,2,Non-Travel,80,3,3,22
293,1,"Sales Executive",Sales,2,3,3,No,2,Travel_Frequently,80,4,3,14
296,1,"Research Director","Research & Development",3,2,3,No,5,Travel_Rarely,80,2,2,16
297,1,"Research Scientist","Research & Development",1,3,3,Yes,5,Travel_Rarely,80,4,1,11
298,1,Manager,Sales,3,3,3,Yes,3,Travel_Rarely,80,4,4,18
299,1,"Sales Executive",Sales,2,2,3,No,5,Travel_Frequently,80,3,1,15
300,1,"Research Scientist","Research & Development",1,3,3,No,1,Travel_Rarely,80,3,3,14
302,1,"Sales Executive",Sales,3,2,3,No,2,Non-Travel,80,4,4,12
303,1,"Sales Executive",Sales,2,3,3,No,4,Travel_Rarely,80,4,1,14
304,1,"Laboratory Technician","Research & Development",2,3,3,No,3,Travel_Rarely,80,4,2,16
305,1,"Research Scientist","Research & Development",1,2,4,No,3,Travel_Rarely,80,3,2,21
306,1,"Research Director","Research & Development",3,3,3,Yes,1,Travel_Frequently,80,2,4,14
307,1,"Sales Executive",Sales,3,3,3,No,6,Travel_Rarely,80,1,3,12
308,1,"Manufacturing Director","Research & Development",2,1,3,No,2,Non-Travel,80,3,3,12
309,1,"Research Scientist","Research & Development",1,2,3,No,6,Travel_Rarely,80,3,4,17
311,1,"Sales Representative",Sales,1,3,3,No,2,Travel_Frequently,80,1,4,17
312,1,"Sales Executive",Sales,3,3,3,No,5,Travel_Frequently,80,2,4,14
314,1,"Sales Executive",Sales,3,3,3,No,3,Travel_Frequently,80,3,3,14
315,1,"Research Scientist","Research & Development",1,2,3,Yes,3,Travel_Rarely,80,3,4,13
316,1,"Laboratory Technician","Research & Development",1,2,3,No,3,Travel_Rarely,80,3,4,15
319,1,Manager,"Research & Development",5,3,3,No,3,Travel_Rarely,80,3,4,11
321,1,"Human Resources","Human Resources",1,3,3,No,2,Travel_Rarely,80,2,3,17
323,1,Manager,Sales,5,3,3,No,3,Travel_Rarely,80,4,4,11
325,1,"Laboratory Technician","Research & Development",1,3,3,Yes,2,Travel_Rarely,80,3,4,13
327,1,Manager,Sales,4,3,4,Yes,3,Travel_Rarely,80,4,4,22
328,1,"Laboratory Technician","Research & Development",1,3,4,No,3,Travel_Rarely,80,1,1,20
329,1,Manager,Sales,5,2,3,Yes,2,Non-Travel,80,1,3,18
330,1,"Sales Representative",Sales,1,3,3,No,5,Travel_Rarely,80,3,2,11
331,1,"Laboratory Technician","Research & Development",1,2,3,Yes,2,Travel_Rarely,80,4,3,14
332,1,"Laboratory Technician","Research & Development",1,3,3,No,1,Travel_Rarely,80,3,3,14
333,1,"Sales Executive",Sales,2,3,3,No,2,Non-Travel,80,3,4,18
334,1,"Research Scientist","Research & Development",2,3,3,No,2,Travel_Rarely,80,3,1,16
335,1,"Research Scientist","Research & Development",2,3,3,No,3,Travel_Rarely,80,1,4,17
336,1,Manager,"Research & Development",5,4,3,No,2,Travel_Rarely,80,3,4,11
337,1,"Research Director","Research & Development",3,3,3,No,3,Travel_Frequently,80,2,3,12
338,1,"Research Scientist","Research & Development",1,2,3,No,2,Travel_Rarely,80,3,4,13
339,1,"Manufacturing Director","Research & Development",2,2,3,No,3,Travel_Rarely,80,4,1,13
340,1,"Research Scientist","Research & Development",1,2,3,No,2,Travel_Rarely,80,3,1,14
341,1,"Manufacturing Director","Research & Development",2,4,3,No,1,Travel_Frequently,80,1,3,17
342,1,"Manufacturing Director","Research & Development",3,3,3,No,5,Travel_Frequently,80,1,3,11
343,1,"Healthcare Representative","Research & Development",3,3,4,No,1,Travel_Frequently,80,3,3,25
346,1,"Research Scientist","Research & Development",1,3,3,No,1,Travel_Rarely,80,3,4,19
347,1,"Research Scientist","Research & Development",2,4,3,Yes,1,Travel_Rarely,80,4,1,13
349,1,"Sales Executive",Sales,2,3,3,No,2,Travel_Rarely,80,4,4,14
350,1,"Manufacturing Director","Research & Development",2,3,3,No,3,Travel_Rarely,80,1,3,12
351,1,"Laboratory Technician","Research & Development",1,2,3,Yes,4,Travel_Rarely,80,4,1,11
352,1,"Research Director","Research & Development",5,3,3,No,5,Travel_Rarely,80,1,3,19
353,1,"Research Scientist","Research & Development",1,3,3,No,0,Travel_Rarely,80,3,4,11
355,1,"Laboratory Technician","Research & Development",1,2,3,No,2,Travel_Frequently,80,3,2,11
359,1,"Laboratory Technician","Research & Development",1,4,4,No,3,Travel_Frequently,80,2,2,20
361,1,"Sales Executive",Sales,2,2,3,No,0,Non-Travel,80,4,4,18
362,1,"Laboratory Technician","Research & Development",2,2,3,No,5,Travel_Rarely,80,4,1,13
363,1,Manager,Sales,4,1,3,Yes,2,Travel_Rarely,80,3,2,12
364,1,"Laboratory Technician","Research & Development",1,3,3,No,5,Travel_Rarely,80,1,3,11
366,1,"Sales Executive",Sales,2,2,3,No,2,Travel_Rarely,80,1,2,19
367,1,"Healthcare Representative","Research & Development",2,2,4,No,2,Travel_Rarely,80,2,4,21
369,1,"Healthcare Representative","Research & Development",2,4,3,No,2,Non-Travel,80,2,1,12
372,1,"Healthcare Representative","Research & Development",4,3,3,Yes,2,Travel_Rarely,80,3,4,14
373,1,"Laboratory Technician","Research & Development",1,3,3,No,4,Travel_Rarely,80,4,4,11
374,1,Manager,"Research & Development",5,3,3,Yes,2,Travel_Rarely,80,4,1,14
376,1,Manager,"Research & Development",3,3,3,Yes,2,Non-Travel,80,1,2,12
377,1,"Research Scientist","Research & Development",1,3,4,No,3,Travel_Rarely,80,4,4,23
378,1,"Sales Executive",Sales,2,3,3,No,5,Travel_Rarely,80,3,4,14
379,1,"Research Scientist","Research & Development",1,2,3,No,4,Travel_Rarely,80,4,3,17
380,1,"Research Director","Research & Development",3,3,3,Yes,2,Non-Travel,80,1,4,18
381,1,Manager,"Research & Development",3,4,3,No,6,Travel_Rarely,80,2,2,18
382,1,"Sales Executive",Sales,2,4,4,Yes,3,Travel_Rarely,80,1,1,24
384,1,"Manufacturing Director","Research & Development",2,3,4,No,6,Travel_Frequently,80,3,2,20
385,1,"Research Director","Research & Development",5,3,3,No,4,Travel_Rarely,80,1,2,14
386,1,"Research Director","Research & Development",4,3,3,Yes,5,Travel_Rarely,80,3,3,16
387,1,"Sales Executive",Sales,2,3,4,No,3,Travel_Rarely,80,2,3,25
388,1,"Sales Executive",Sales,2,3,3,No,3,Travel_Frequently,80,2,4,18
389,1,"Laboratory Technician","Research & Development",2,3,3,Yes,4,Travel_Rarely,80,2,4,19
390,1,"Healthcare Representative","Research & Development",2,3,3,Yes,3,Travel_Frequently,80,1,1,13
391,1,"Research Scientist","Research & Development",1,3,3,No,3,Travel_Rarely,80,4,4,12
392,1,"Laboratory Technician","Research & Development",1,3,4,Yes,0,Travel_Frequently,80,4,3,22
393,1,"Healthcare Representative","Research & Development",2,3,3,No,2,Travel_Rarely,80,4,4,14
394,1,"Laboratory Technician","Research & Development",1,3,3,Yes,2,Travel_Rarely,80,1,2,13
395,1,"Research Scientist","Research & Development",1,3,4,No,3,Travel_Rarely,80,4,4,21
396,1,"Research Director","Research & Development",5,3,3,Yes,4,Travel_Frequently,80,3,1,11
397,1,"Research Scientist","Research & Development",2,3,3,No,2,Travel_Rarely,80,3,2,12
399,1,"Sales Representative",Sales,1,3,3,No,5,Travel_Frequently,80,4,2,11
401,1,"Sales Executive",Sales,2,2,3,Yes,0,Travel_Rarely,80,4,4,12
403,1,"Research Scientist","Research & Development",1,3,3,Yes,3,Travel_Frequently,80,2,4,12
404,1,"Sales Executive",Sales,4,3,3,No,2,Travel_Frequently,80,3,2,14
405,1,"Laboratory Technician","Research & Development",1,3,3,No,2,Travel_Rarely,80,3,3,13
406,1,"Sales Executive",Sales,3,3,3,No,3,Travel_Rarely,80,3,2,15
407,1,"Laboratory Technician","Research & Development",1,4,3,No,2,Travel_Frequently,80,3,4,18
408,1,"Manufacturing Director","Research & Development",2,1,3,No,3,Travel_Rarely,80,4,2,18
410,1,Manager,Sales,4,3,3,No,2,Travel_Rarely,80,4,2,19
411,1,"Sales Representative",Sales,1,2,3,No,2,Travel_Rarely,80,4,3,12
412,1,"Healthcare Representative","Research & Development",2,4,3,No,2,Travel_Rarely,80,2,1,19
416,1,"Sales Executive",Sales,2,4,3,No,3,Travel_Rarely,80,2,4,11
